"id","name","family","base","material","spell","skill","difficulty","station","materials","existing icon"
"weapon.shortsword.rimesteel","Rimesteel Shortsword","weapon","shortsword","rimesteel","","blacksmithing","52","forge","rimesteel x3","icons/items/shortsword.webp"
"weapon.shortsword.verdite","Verdite Shortsword","weapon","shortsword","verdite","","blacksmithing","59","forge","verdite x3","icons/items/shortsword.webp"
"weapon.shortsword.voidrock","Voidrock Shortsword","weapon","shortsword","voidrock","","blacksmithing","66","forge","voidrock x3","icons/items/shortsword.webp"
"weapon.shortsword.starfall","Starfall Shortsword","weapon","shortsword","starfall","","blacksmithing","73","forge","starfall x3","icons/items/shortsword.webp"
"weapon.mace.copper","Copper Mace","weapon","mace","copper","","blacksmithing","12","forge","copper x4; oak x1","icons/items/mace.webp"
"weapon.mace.bronze","Bronze Mace","weapon","mace","bronze","","blacksmithing","19","forge","copper x4; tin x2; oak x1","icons/items/mace.webp"
"weapon.mace.iron","Iron Mace","weapon","mace","iron","","blacksmithing","26","forge","iron x4; oak x1","icons/items/mace.webp"
"weapon.mace.silver","Silver Mace","weapon","mace","silver","","blacksmithing","33","forge","silver x4; oak x1","icons/items/mace.webp"
"weapon.mace.coldiron","Coldiron Mace","weapon","mace","coldiron","","blacksmithing","40","forge","coldiron x4; oak x1","icons/items/mace.webp"
"weapon.mace.emberite","Emberite Mace","weapon","mace","emberite","","blacksmithing","47","forge","emberite x4; oak x1","icons/items/mace.webp"
"weapon.mace.rimesteel","Rimesteel Mace","weapon","mace","rimesteel","","blacksmithing","54","forge","rimesteel x4; oak x1","icons/items/mace.webp"
"weapon.mace.verdite","Verdite Mace","weapon","mace","verdite","","blacksmithing","61","forge","verdite x4; oak x1","icons/items/mace.webp"
"weapon.mace.voidrock","Voidrock Mace","weapon","mace","voidrock","","blacksmithing","68","forge","voidrock x4; oak x1","icons/items/mace.webp"
"weapon.mace.starfall","Starfall Mace","weapon","mace","starfall","","blacksmithing","75","forge","starfall x4; oak x1","icons/items/mace.webp"
"weapon.longsword.copper","Copper Longsword","weapon","longsword","copper","","blacksmithing","12","forge","copper x4","icons/items/longsword.webp"
"weapon.longsword.bronze","Bronze Longsword","weapon","longsword","bronze","","blacksmithing","19","forge","copper x4; tin x2","icons/items/longsword.webp"
"weapon.longsword.iron","Iron Longsword","weapon","longsword","iron","","blacksmithing","26","forge","iron x4","icons/items/longsword.webp"
"weapon.longsword.silver","Silver Longsword","weapon","longsword","silver","","blacksmithing","33","forge","silver x4","icons/items/longsword.webp"
"weapon.longsword.coldiron","Coldiron Longsword","weapon","longsword","coldiron","","blacksmithing","40","forge","coldiron x4","icons/items/longsword.webp"
"weapon.longsword.emberite","Emberite Longsword","weapon","longsword","emberite","","blacksmithing","47","forge","emberite x4","icons/items/longsword.webp"
"weapon.longsword.rimesteel","Rimesteel Longsword","weapon","longsword","rimesteel","","blacksmithing","54","forge","rimesteel x4","icons/items/longsword.webp"
"weapon.longsword.verdite","Verdite Longsword","weapon","longsword","verdite","","blacksmithing","61","forge","verdite x4","icons/items/longsword.webp"
"weapon.longsword.voidrock","Voidrock Longsword","weapon","longsword","voidrock","","blacksmithing","68","forge","voidrock x4","icons/items/longsword.webp"
"weapon.longsword.starfall","Starfall Longsword","weapon","longsword","starfall","","blacksmithing","75","forge","starfall x4","icons/items/longsword.webp"
"weapon.axe.copper","Copper Axe","weapon","axe","copper","","blacksmithing","14","forge","copper x5; oak x1","icons/items/axe.webp"
"weapon.axe.bronze","Bronze Axe","weapon","axe","bronze","","blacksmithing","21","forge","copper x5; tin x3; oak x1","icons/items/axe.webp"
"weapon.axe.iron","Iron Axe","weapon","axe","iron","","blacksmithing","28","forge","iron x5; oak x1","icons/items/axe.webp"
"weapon.axe.silver","Silver Axe","weapon","axe","silver","","blacksmithing","35","forge","silver x5; oak x1","icons/items/axe.webp"
"weapon.axe.coldiron","Coldiron Axe","weapon","axe","coldiron","","blacksmithing","42","forge","coldiron x5; oak x1","icons/items/axe.webp"
"weapon.axe.emberite","Emberite Axe","weapon","axe","emberite","","blacksmithing","49","forge","emberite x5; oak x1","icons/items/axe.webp"
"weapon.axe.rimesteel","Rimesteel Axe","weapon","axe","rimesteel","","blacksmithing","56","forge","rimesteel x5; oak x1","icons/items/axe.webp"
"weapon.axe.verdite","Verdite Axe","weapon","axe","verdite","","blacksmithing","63","forge","verdite x5; oak x1","icons/items/axe.webp"
"weapon.axe.voidrock","Voidrock Axe","weapon","axe","voidrock","","blacksmithing","70","forge","voidrock x5; oak x1","icons/items/axe.webp"
"weapon.axe.starfall","Starfall Axe","weapon","axe","starfall","","blacksmithing","77","forge","starfall x5; oak x1","icons/items/axe.webp"
"weapon.spear.copper","Copper Spear","weapon","spear","copper","","blacksmithing","16","forge","copper x5; oak x1","icons/items/spear.webp"
"weapon.spear.bronze","Bronze Spear","weapon","spear","bronze","","blacksmithing","23","forge","copper x5; tin x3; oak x1","icons/items/spear.webp"
"weapon.spear.iron","Iron Spear","weapon","spear","iron","","blacksmithing","30","forge","iron x5; oak x1","icons/items/spear.webp"
"weapon.spear.silver","Silver Spear","weapon","spear","silver","","blacksmithing","37","forge","silver x5; oak x1","icons/items/spear.webp"
"weapon.spear.coldiron","Coldiron Spear","weapon","spear","coldiron","","blacksmithing","44","forge","coldiron x5; oak x1","icons/items/spear.webp"
"weapon.spear.emberite","Emberite Spear","weapon","spear","emberite","","blacksmithing","51","forge","emberite x5; oak x1","icons/items/spear.webp"
"weapon.spear.rimesteel","Rimesteel Spear","weapon","spear","rimesteel","","blacksmithing","58","forge","rimesteel x5; oak x1","icons/items/spear.webp"
"weapon.spear.verdite","Verdite Spear","weapon","spear","verdite","","blacksmithing","65","forge","verdite x5; oak x1","icons/items/spear.webp"
"weapon.spear.voidrock","Voidrock Spear","weapon","spear","voidrock","","blacksmithing","72","forge","voidrock x5; oak x1","icons/items/spear.webp"
"weapon.spear.starfall","Starfall Spear","weapon","spear","starfall","","blacksmithing","79","forge","starfall x5; oak x1","icons/items/spear.webp"
"weapon.glaive.copper","Copper Glaive","weapon","glaive","copper","","blacksmithing","18","forge","copper x6; oak x1","icons/items/glaive.webp"
"weapon.glaive.bronze","Bronze Glaive","weapon","glaive","bronze","","blacksmithing","25","forge","copper x6; tin x3; oak x1","icons/items/glaive.webp"
"weapon.glaive.iron","Iron Glaive","weapon","glaive","iron","","blacksmithing","32","forge","iron x6; oak x1","icons/items/glaive.webp"
"weapon.glaive.silver","Silver Glaive","weapon","glaive","silver","","blacksmithing","39","forge","silver x6; oak x1","icons/items/glaive.webp"
"weapon.glaive.coldiron","Coldiron Glaive","weapon","glaive","coldiron","","blacksmithing","46","forge","coldiron x6; oak x1","icons/items/glaive.webp"
"weapon.glaive.emberite","Emberite Glaive","weapon","glaive","emberite","","blacksmithing","53","forge","emberite x6; oak x1","icons/items/glaive.webp"
"weapon.glaive.rimesteel","Rimesteel Glaive","weapon","glaive","rimesteel","","blacksmithing","60","forge","rimesteel x6; oak x1","icons/items/glaive.webp"
"weapon.glaive.verdite","Verdite Glaive","weapon","glaive","verdite","","blacksmithing","67","forge","verdite x6; oak x1","icons/items/glaive.webp"
"weapon.glaive.voidrock","Voidrock Glaive","weapon","glaive","voidrock","","blacksmithing","74","forge","voidrock x6; oak x1","icons/items/glaive.webp"
"weapon.glaive.starfall","Starfall Glaive","weapon","glaive","starfall","","blacksmithing","81","forge","starfall x6; oak x1","icons/items/glaive.webp"
"weapon.maul.copper","Copper Maul","weapon","maul","copper","","blacksmithing","20","forge","copper x7; oak x1","icons/items/maul.webp"
"weapon.maul.bronze","Bronze Maul","weapon","maul","bronze","","blacksmithing","27","forge","copper x7; tin x4; oak x1","icons/items/maul.webp"
"weapon.maul.iron","Iron Maul","weapon","maul","iron","","blacksmithing","34","forge","iron x7; oak x1","icons/items/maul.webp"
"weapon.maul.silver","Silver Maul","weapon","maul","silver","","blacksmithing","41","forge","silver x7; oak x1","icons/items/maul.webp"
"weapon.maul.coldiron","Coldiron Maul","weapon","maul","coldiron","","blacksmithing","48","forge","coldiron x7; oak x1","icons/items/maul.webp"
"weapon.maul.emberite","Emberite Maul","weapon","maul","emberite","","blacksmithing","55","forge","emberite x7; oak x1","icons/items/maul.webp"
"weapon.maul.rimesteel","Rimesteel Maul","weapon","maul","rimesteel","","blacksmithing","62","forge","rimesteel x7; oak x1","icons/items/maul.webp"
"weapon.maul.verdite","Verdite Maul","weapon","maul","verdite","","blacksmithing","69","forge","verdite x7; oak x1","icons/items/maul.webp"
"weapon.maul.voidrock","Voidrock Maul","weapon","maul","voidrock","","blacksmithing","76","forge","voidrock x7; oak x1","icons/items/maul.webp"
"weapon.maul.starfall","Starfall Maul","weapon","maul","starfall","","blacksmithing","83","forge","starfall x7; oak x1","icons/items/maul.webp"
"weapon.halberd.copper","Copper Halberd","weapon","halberd","copper","","blacksmithing","22","forge","copper x7; oak x1","icons/items/halberd.webp"
"weapon.halberd.bronze","Bronze Halberd","weapon","halberd","bronze","","blacksmithing","29","forge","copper x7; tin x4; oak x1","icons/items/halberd.webp"
"weapon.halberd.iron","Iron Halberd","weapon","halberd","iron","","blacksmithing","36","forge","iron x7; oak x1","icons/items/halberd.webp"
"weapon.halberd.silver","Silver Halberd","weapon","halberd","silver","","blacksmithing","43","forge","silver x7; oak x1","icons/items/halberd.webp"
"weapon.halberd.coldiron","Coldiron Halberd","weapon","halberd","coldiron","","blacksmithing","50","forge","coldiron x7; oak x1","icons/items/halberd.webp"
"weapon.halberd.emberite","Emberite Halberd","weapon","halberd","emberite","","blacksmithing","57","forge","emberite x7; oak x1","icons/items/halberd.webp"
"weapon.halberd.rimesteel","Rimesteel Halberd","weapon","halberd","rimesteel","","blacksmithing","64","forge","rimesteel x7; oak x1","icons/items/halberd.webp"
"weapon.halberd.verdite","Verdite Halberd","weapon","halberd","verdite","","blacksmithing","71","forge","verdite x7; oak x1","icons/items/halberd.webp"
"weapon.halberd.voidrock","Voidrock Halberd","weapon","halberd","voidrock","","blacksmithing","78","forge","voidrock x7; oak x1","icons/items/halberd.webp"
"weapon.halberd.starfall","Starfall Halberd","weapon","halberd","starfall","","blacksmithing","85","forge","starfall x7; oak x1","icons/items/halberd.webp"
"weapon.warhammer.copper","Copper Warhammer","weapon","warhammer","copper","","blacksmithing","22","forge","copper x7; oak x1","icons/items/warhammer.webp"
"weapon.warhammer.bronze","Bronze Warhammer","weapon","warhammer","bronze","","blacksmithing","29","forge","copper x7; tin x4; oak x1","icons/items/warhammer.webp"
"weapon.warhammer.iron","Iron Warhammer","weapon","warhammer","iron","","blacksmithing","36","forge","iron x7; oak x1","icons/items/warhammer.webp"
"weapon.warhammer.silver","Silver Warhammer","weapon","warhammer","silver","","blacksmithing","43","forge","silver x7; oak x1","icons/items/warhammer.webp"
"weapon.warhammer.coldiron","Coldiron Warhammer","weapon","warhammer","coldiron","","blacksmithing","50","forge","coldiron x7; oak x1","icons/items/warhammer.webp"
"weapon.warhammer.emberite","Emberite Warhammer","weapon","warhammer","emberite","","blacksmithing","57","forge","emberite x7; oak x1","icons/items/warhammer.webp"
"weapon.warhammer.rimesteel","Rimesteel Warhammer","weapon","warhammer","rimesteel","","blacksmithing","64","forge","rimesteel x7; oak x1","icons/items/warhammer.webp"
"weapon.warhammer.verdite","Verdite Warhammer","weapon","warhammer","verdite","","blacksmithing","71","forge","verdite x7; oak x1","icons/items/warhammer.webp"
"weapon.warhammer.voidrock","Voidrock Warhammer","weapon","warhammer","voidrock","","blacksmithing","78","forge","voidrock x7; oak x1","icons/items/warhammer.webp"
"weapon.warhammer.starfall","Starfall Warhammer","weapon","warhammer","starfall","","blacksmithing","85","forge","starfall x7; oak x1","icons/items/warhammer.webp"
"weapon.battleaxe.copper","Copper Battleaxe","weapon","battleaxe","copper","","blacksmithing","24","forge","copper x8; oak x1","icons/items/battleaxe.webp"
"weapon.battleaxe.bronze","Bronze Battleaxe","weapon","battleaxe","bronze","","blacksmithing","31","forge","copper x8; tin x4; oak x1","icons/items/battleaxe.webp"
"weapon.battleaxe.iron","Iron Battleaxe","weapon","battleaxe","iron","","blacksmithing","38","forge","iron x8; oak x1","icons/items/battleaxe.webp"
"weapon.battleaxe.silver","Silver Battleaxe","weapon","battleaxe","silver","","blacksmithing","45","forge","silver x8; oak x1","icons/items/battleaxe.webp"
"weapon.battleaxe.coldiron","Coldiron Battleaxe","weapon","battleaxe","coldiron","","blacksmithing","52","forge","coldiron x8; oak x1","icons/items/battleaxe.webp"
"weapon.battleaxe.emberite","Emberite Battleaxe","weapon","battleaxe","emberite","","blacksmithing","59","forge","emberite x8; oak x1","icons/items/battleaxe.webp"
"weapon.battleaxe.rimesteel","Rimesteel Battleaxe","weapon","battleaxe","rimesteel","","blacksmithing","66","forge","rimesteel x8; oak x1","icons/items/battleaxe.webp"
"weapon.battleaxe.verdite","Verdite Battleaxe","weapon","battleaxe","verdite","","blacksmithing","73","forge","verdite x8; oak x1","icons/items/battleaxe.webp"
"weapon.battleaxe.voidrock","Voidrock Battleaxe","weapon","battleaxe","voidrock","","blacksmithing","80","forge","voidrock x8; oak x1","icons/items/battleaxe.webp"
"weapon.battleaxe.starfall","Starfall Battleaxe","weapon","battleaxe","starfall","","blacksmithing","87","forge","starfall x8; oak x1","icons/items/battleaxe.webp"
"weapon.greatsword.copper","Copper Greatsword","weapon","greatsword","copper","","blacksmithing","25","forge","copper x8","icons/items/greatsword.webp"
"weapon.greatsword.bronze","Bronze Greatsword","weapon","greatsword","bronze","","blacksmithing","32","forge","copper x8; tin x4","icons/items/greatsword.webp"
"weapon.greatsword.iron","Iron Greatsword","weapon","greatsword","iron","","blacksmithing","39","forge","iron x8","icons/items/greatsword.webp"
"weapon.greatsword.silver","Silver Greatsword","weapon","greatsword","silver","","blacksmithing","46","forge","silver x8","icons/items/greatsword.webp"
"weapon.greatsword.coldiron","Coldiron Greatsword","weapon","greatsword","coldiron","","blacksmithing","53","forge","coldiron x8","icons/items/greatsword.webp"
"weapon.greatsword.emberite","Emberite Greatsword","weapon","greatsword","emberite","","blacksmithing","60","forge","emberite x8","icons/items/greatsword.webp"
"weapon.greatsword.rimesteel","Rimesteel Greatsword","weapon","greatsword","rimesteel","","blacksmithing","67","forge","rimesteel x8","icons/items/greatsword.webp"
"weapon.greatsword.verdite","Verdite Greatsword","weapon","greatsword","verdite","","blacksmithing","74","forge","verdite x8","icons/items/greatsword.webp"
"weapon.greatsword.voidrock","Voidrock Greatsword","weapon","greatsword","voidrock","","blacksmithing","81","forge","voidrock x8","icons/items/greatsword.webp"
"weapon.greatsword.starfall","Starfall Greatsword","weapon","greatsword","starfall","","blacksmithing","88","forge","starfall x8","icons/items/greatsword.webp"
"armour.cloth.head.cloth","Cloth hood","armour","cloth_hood","cloth","","tailoring","5","loom","cloth x1",""
"armour.cloth.chest.cloth","Cloth robe","armour","cloth_robe","cloth","","tailoring","10","loom","cloth x3",""
"armour.cloth.hands.cloth","Cloth gloves","armour","cloth_gloves","cloth","","tailoring","3","loom","cloth x1",""
"armour.cloth.wrists.cloth","Cloth bracers","armour","cloth_bracers","cloth","","tailoring","3","loom","cloth x1",""
"armour.cloth.waist.cloth","Cloth sash","armour","cloth_sash","cloth","","tailoring","2","loom","cloth x1",""
"armour.cloth.legs.cloth","Cloth leggings","armour","cloth_leggings","cloth","","tailoring","7","loom","cloth x2",""
"armour.cloth.feet.cloth","Cloth sandals","armour","cloth_sandals","cloth","","tailoring","3","loom","cloth x1",""
"armour.cloth.back.cloth","Cloth cloak","armour","cloth_cloak","cloth","","tailoring","4","loom","cloth x1",""
"armour.leather.head.hide","Hide hood","armour","leather_hood","hide","","tailoring","9","tanningRack","hide x2",""
"armour.leather.chest.hide","Hide tunic","armour","leather_tunic","hide","","tailoring","14","tanningRack","hide x4",""
"armour.leather.hands.hide","Hide gloves","armour","leather_gloves","hide","","tailoring","7","tanningRack","hide x2",""
"armour.leather.wrists.hide","Hide bracers","armour","leather_bracers","hide","","tailoring","7","tanningRack","hide x2",""
"armour.leather.waist.hide","Hide belt","armour","leather_belt","hide","","tailoring","6","tanningRack","hide x2",""
"armour.leather.legs.hide","Hide leggings","armour","leather_leggings","hide","","tailoring","11","tanningRack","hide x3",""
"armour.leather.feet.hide","Hide boots","armour","leather_boots","hide","","tailoring","7","tanningRack","hide x2",""
"armour.leather.back.hide","Hide cloak","armour","leather_cloak","hide","","tailoring","8","tanningRack","hide x2",""
"armour.studded.head.hide","Hide hood","armour","studded_hood","hide","","tailoring","15","tanningRack","hide x4; iron x1",""
"armour.studded.chest.hide","Hide tunic","armour","studded_tunic","hide","","tailoring","20","tanningRack","hide x5; iron x1",""
"armour.studded.hands.hide","Hide gloves","armour","studded_gloves","hide","","tailoring","13","tanningRack","hide x3; iron x1",""
"armour.studded.wrists.hide","Hide bracers","armour","studded_bracers","hide","","tailoring","13","tanningRack","hide x3; iron x1",""
"armour.studded.waist.hide","Hide belt","armour","studded_belt","hide","","tailoring","12","tanningRack","hide x3; iron x1",""
"armour.studded.legs.hide","Hide leggings","armour","studded_leggings","hide","","tailoring","17","tanningRack","hide x4; iron x1",""
"armour.studded.feet.hide","Hide boots","armour","studded_boots","hide","","tailoring","13","tanningRack","hide x3; iron x1",""
"armour.studded.back.hide","Hide cloak","armour","studded_cloak","hide","","tailoring","14","tanningRack","hide x4; iron x1",""
"armour.ring.head.iron","Iron Ringmail helm","armour","ring_helm","iron","","blacksmithing","35","forge","iron x5",""
"armour.ring.head.silver","Silver Ringmail helm","armour","ring_helm","silver","","blacksmithing","42","forge","silver x5",""
"armour.ring.head.coldiron","Coldiron Ringmail helm","armour","ring_helm","coldiron","","blacksmithing","49","forge","coldiron x5",""
"armour.ring.head.emberite","Emberite Ringmail helm","armour","ring_helm","emberite","","blacksmithing","56","forge","emberite x5",""
"armour.ring.head.rimesteel","Rimesteel Ringmail helm","armour","ring_helm","rimesteel","","blacksmithing","63","forge","rimesteel x5",""
"armour.ring.head.verdite","Verdite Ringmail helm","armour","ring_helm","verdite","","blacksmithing","70","forge","verdite x5",""
"armour.ring.head.voidrock","Voidrock Ringmail helm","armour","ring_helm","voidrock","","blacksmithing","77","forge","voidrock x5",""
"armour.ring.head.starfall","Starfall Ringmail helm","armour","ring_helm","starfall","","blacksmithing","84","forge","starfall x5",""
"armour.ring.chest.iron","Iron Ringmail tunic","armour","ring_tunic","iron","","blacksmithing","40","forge","iron x7",""
"armour.ring.chest.silver","Silver Ringmail tunic","armour","ring_tunic","silver","","blacksmithing","47","forge","silver x7",""
"armour.ring.chest.coldiron","Coldiron Ringmail tunic","armour","ring_tunic","coldiron","","blacksmithing","54","forge","coldiron x7",""
"armour.ring.chest.emberite","Emberite Ringmail tunic","armour","ring_tunic","emberite","","blacksmithing","61","forge","emberite x7",""
"armour.ring.chest.rimesteel","Rimesteel Ringmail tunic","armour","ring_tunic","rimesteel","","blacksmithing","68","forge","rimesteel x7",""
"armour.ring.chest.verdite","Verdite Ringmail tunic","armour","ring_tunic","verdite","","blacksmithing","75","forge","verdite x7",""
"armour.ring.chest.voidrock","Voidrock Ringmail tunic","armour","ring_tunic","voidrock","","blacksmithing","82","forge","voidrock x7",""
"armour.ring.chest.starfall","Starfall Ringmail tunic","armour","ring_tunic","starfall","","blacksmithing","89","forge","starfall x7",""
"armour.ring.hands.iron","Iron Ringmail gauntlets","armour","ring_gauntlets","iron","","blacksmithing","33","forge","iron x5",""
"armour.ring.hands.silver","Silver Ringmail gauntlets","armour","ring_gauntlets","silver","","blacksmithing","40","forge","silver x5",""
"armour.ring.hands.coldiron","Coldiron Ringmail gauntlets","armour","ring_gauntlets","coldiron","","blacksmithing","47","forge","coldiron x5",""
"armour.ring.hands.emberite","Emberite Ringmail gauntlets","armour","ring_gauntlets","emberite","","blacksmithing","54","forge","emberite x5",""
"armour.ring.hands.rimesteel","Rimesteel Ringmail gauntlets","armour","ring_gauntlets","rimesteel","","blacksmithing","61","forge","rimesteel x5",""
"armour.ring.hands.verdite","Verdite Ringmail gauntlets","armour","ring_gauntlets","verdite","","blacksmithing","68","forge","verdite x5",""
"armour.ring.hands.voidrock","Voidrock Ringmail gauntlets","armour","ring_gauntlets","voidrock","","blacksmithing","75","forge","voidrock x5",""
"armour.ring.hands.starfall","Starfall Ringmail gauntlets","armour","ring_gauntlets","starfall","","blacksmithing","82","forge","starfall x5",""
"armour.ring.wrists.iron","Iron Ringmail bracers","armour","ring_bracers","iron","","blacksmithing","33","forge","iron x5",""
"armour.ring.wrists.silver","Silver Ringmail bracers","armour","ring_bracers","silver","","blacksmithing","40","forge","silver x5",""
"armour.ring.wrists.coldiron","Coldiron Ringmail bracers","armour","ring_bracers","coldiron","","blacksmithing","47","forge","coldiron x5",""
"armour.ring.wrists.emberite","Emberite Ringmail bracers","armour","ring_bracers","emberite","","blacksmithing","54","forge","emberite x5",""
"armour.ring.wrists.rimesteel","Rimesteel Ringmail bracers","armour","ring_bracers","rimesteel","","blacksmithing","61","forge","rimesteel x5",""
"armour.ring.wrists.verdite","Verdite Ringmail bracers","armour","ring_bracers","verdite","","blacksmithing","68","forge","verdite x5",""
"armour.ring.wrists.voidrock","Voidrock Ringmail bracers","armour","ring_bracers","voidrock","","blacksmithing","75","forge","voidrock x5",""
"armour.ring.wrists.starfall","Starfall Ringmail bracers","armour","ring_bracers","starfall","","blacksmithing","82","forge","starfall x5",""
"armour.ring.waist.iron","Iron Ringmail belt","armour","ring_belt","iron","","blacksmithing","32","forge","iron x5",""
"armour.ring.waist.silver","Silver Ringmail belt","armour","ring_belt","silver","","blacksmithing","39","forge","silver x5",""
"armour.ring.waist.coldiron","Coldiron Ringmail belt","armour","ring_belt","coldiron","","blacksmithing","46","forge","coldiron x5",""
"armour.ring.waist.emberite","Emberite Ringmail belt","armour","ring_belt","emberite","","blacksmithing","53","forge","emberite x5",""
"armour.ring.waist.rimesteel","Rimesteel Ringmail belt","armour","ring_belt","rimesteel","","blacksmithing","60","forge","rimesteel x5",""
"armour.ring.waist.verdite","Verdite Ringmail belt","armour","ring_belt","verdite","","blacksmithing","67","forge","verdite x5",""
"armour.ring.waist.voidrock","Voidrock Ringmail belt","armour","ring_belt","voidrock","","blacksmithing","74","forge","voidrock x5",""
"armour.ring.waist.starfall","Starfall Ringmail belt","armour","ring_belt","starfall","","blacksmithing","81","forge","starfall x5",""
"armour.ring.legs.iron","Iron Ringmail greaves","armour","ring_greaves","iron","","blacksmithing","37","forge","iron x6",""
"armour.ring.legs.silver","Silver Ringmail greaves","armour","ring_greaves","silver","","blacksmithing","44","forge","silver x6",""
"armour.ring.legs.coldiron","Coldiron Ringmail greaves","armour","ring_greaves","coldiron","","blacksmithing","51","forge","coldiron x6",""
"armour.ring.legs.emberite","Emberite Ringmail greaves","armour","ring_greaves","emberite","","blacksmithing","58","forge","emberite x6",""
